                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.35481,                0.38735,                0.87009,                0.92779,                 0.7559,                0.87605,                0.65623,                 1.0113,                0.96376,                 1.2277,             3.1553e-05,             3.1553e-05,             3.1553e-05
                     76,                0.36951,                 0.4157,                0.87003,                0.94419,                 0.7465,                0.87447,                0.65114,                 1.0044,                0.96052,                 1.2247,             3.0385e-05,             3.0385e-05,             3.0385e-05
                     77,                0.35927,                0.38837,                0.86338,                0.92747,                0.75224,                0.87011,                0.64489,                 1.0086,                 1.0024,                 1.2261,             2.9217e-05,             2.9217e-05,             2.9217e-05
                     78,                0.37021,                0.38401,                0.86745,                0.89203,                0.72905,                0.86307,                0.65893,                0.99507,                 1.0692,                  1.229,             2.8049e-05,             2.8049e-05,             2.8049e-05
                     79,                0.35189,                0.37677,                0.86307,                0.83312,                0.76471,                 0.8612,                0.65236,                0.99238,                 1.0928,                 1.2266,              2.688e-05,              2.688e-05,              2.688e-05
                     80,                0.34315,                0.36831,                0.86169,                0.82021,                   0.75,                 0.8508,                 0.6381,                  1.002,                  1.144,                 1.2297,             2.5712e-05,             2.5712e-05,             2.5712e-05
                     81,                0.36314,                0.39314,                0.85611,                0.87209,                0.70588,                 0.8424,                0.63507,                 1.0092,                 1.1653,                  1.235,             2.4544e-05,             2.4544e-05,             2.4544e-05
                     82,                0.34405,                0.38001,                0.87404,                0.92018,                0.67812,                0.83378,                0.63444,                 1.0269,                 1.2027,                 1.2454,             2.3376e-05,             2.3376e-05,             2.3376e-05
                     83,                0.33387,                0.36227,                  0.857,                0.96992,                0.66176,                0.83099,                0.63048,                 1.0334,                 1.2088,                 1.2487,             2.2208e-05,             2.2208e-05,             2.2208e-05
                     84,                0.33686,                0.36806,                 0.8668,                  0.967,                0.66176,                0.83165,                0.63375,                 1.0316,                 1.2037,                  1.246,             2.1039e-05,             2.1039e-05,             2.1039e-05
                     85,                0.32888,                0.37298,                0.87396,                0.93791,                0.66645,                0.83687,                  0.629,                 1.0304,                 1.1982,                 1.2424,             1.9871e-05,             1.9871e-05,             1.9871e-05
                     86,                0.35318,                0.36939,                0.86268,                0.94734,                0.69118,                0.83497,                0.62545,                 1.0343,                 1.2041,                 1.2422,             1.8703e-05,             1.8703e-05,             1.8703e-05
                     87,                0.33642,                0.37311,                0.86073,                0.94898,                0.69118,                0.83581,                0.63258,                 1.0398,                 1.2053,                 1.2419,             1.7535e-05,             1.7535e-05,             1.7535e-05
                     88,                0.33054,                0.37563,                0.87491,                0.94644,                0.69118,                0.83889,                0.63712,                 1.0442,                  1.179,                  1.241,             1.6367e-05,             1.6367e-05,             1.6367e-05
                     89,                0.35068,                0.39182,                0.86693,                0.92183,                0.69374,                0.84143,                0.64865,                  1.038,                 1.1562,                  1.236,             1.5198e-05,             1.5198e-05,             1.5198e-05
                     90,                0.34621,                0.39071,                  0.866,                0.91489,                0.72059,                0.85029,                0.65461,                 1.0319,                 1.1102,                 1.2288,              1.403e-05,              1.403e-05,              1.403e-05
                     91,                0.31948,                0.46322,                0.82814,                  0.856,                0.78682,                0.85722,                0.65442,                 1.0204,                 1.0575,                 1.2152,             1.2862e-05,             1.2862e-05,             1.2862e-05
                     92,                0.30335,                0.46084,                0.84891,                 0.9041,                0.73529,                0.85836,                0.65498,                 1.0194,                 1.0488,                 1.2151,             1.1694e-05,             1.1694e-05,             1.1694e-05
                     93,                  0.275,                0.41325,                0.81903,                0.89882,                0.73529,                0.85824,                0.64471,                 1.0173,                 1.0581,                 1.2147,             1.0526e-05,             1.0526e-05,             1.0526e-05
                     94,                 0.2838,                0.42533,                0.80896,                0.87918,                0.74912,                0.85842,                0.63914,                 1.0206,                   1.05,                 1.2178,             9.3574e-06,             9.3574e-06,             9.3574e-06
                     95,                0.27797,                0.42908,                0.83338,                0.86591,                0.75975,                 0.8647,                0.63958,                 1.0129,                 1.0421,                 1.2118,             8.1892e-06,             8.1892e-06,             8.1892e-06
                     96,                0.26366,                0.41015,                0.81639,                0.86936,                0.78293,                0.86668,                0.64371,                 1.0073,                 1.0317,                 1.2077,              7.021e-06,              7.021e-06,              7.021e-06
                     97,                0.26212,                0.41386,                0.82202,                0.88584,                0.79887,                0.87074,                  0.651,                  1.003,                 1.0289,                 1.2078,             5.8528e-06,             5.8528e-06,             5.8528e-06
                     98,                0.25445,                 0.3986,                0.81225,                0.88347,                0.79412,                 0.8702,                0.64748,                 1.0051,                 1.0359,                 1.2083,             4.6846e-06,             4.6846e-06,             4.6846e-06
                     99,                0.27464,                0.40964,                0.81813,                0.89437,                0.77941,                 0.8716,                0.64471,                 1.0028,                 1.0319,                 1.2077,             3.5164e-06,             3.5164e-06,             3.5164e-06
                    100,                0.25718,                0.39476,                0.80498,                0.89791,                 0.7761,                0.87065,                0.64476,                 1.0009,                 1.0418,                 1.2064,             2.3482e-06,             2.3482e-06,             2.3482e-06
